in s,C4 in V
-6.370864E-03,3.30850E-01
-6.370772E-03,3.31338E-01
-6.370680E-03,3.32314E-01
-6.370588E-03,3.33779E-01
-6.370496E-03,3.35732E-01
-6.370404E-03,3.37686E-01
-6.370312E-03,3.42568E-01
-6.370220E-03,3.41592E-01
-6.370128E-03,3.42568E-01
-6.370036E-03,3.45010E-01
-6.369944E-03,3.46475E-01
-6.369852E-03,3.46963E-01
-6.369760E-03,3.48916E-01
-6.369668E-03,3.48428E-01
-6.369576E-03,3.49404E-01
-6.369484E-03,3.49404E-01
-6.369392E-03,3.48428E-01
-6.369300E-03,3.48916E-01
-6.369208E-03,3.48428E-01
-6.369116E-03,3.42568E-01
-6.369024E-03,3.43057E-01
-6.368932E-03,3.40615E-01
-6.368840E-03,3.41104E-01
-6.368748E-03,3.38174E-01
-6.368656E-03,3.37686E-01
-6.368564E-03,3.36709E-01
-6.368472E-03,3.34756E-01
-6.368380E-03,3.37197E-01
-6.368288E-03,3.34268E-01
-6.368196E-03,3.33291E-01
-6.368104E-03,3.35244E-01
-6.368012E-03,3.37197E-01
-6.367920E-03,3.40127E-01
-6.367828E-03,3.39150E-01
-6.367736E-03,3.42568E-01
-6.367644E-03,3.44033E-01
-6.367552E-03,3.44033E-01
-6.367460E-03,3.46475E-01
-6.367368E-03,3.48916E-01
-6.367276E-03,3.49893E-01
-6.367184E-03,3.51357E-01
-6.367092E-03,3.50869E-01
-6.367000E-03,3.51846E-01
-6.366908E-03,3.51357E-01
-6.366816E-03,3.52334E-01
-6.366724E-03,3.51846E-01
-6.366632E-03,3.50869E-01
-6.366540E-03,3.47939E-01
-6.366448E-03,3.48916E-01
-6.366356E-03,3.45986E-01
-6.366264E-03,3.43545E-01
-6.366172E-03,3.43057E-01
-6.366080E-03,3.41104E-01
-6.365988E-03,3.40615E-01
-6.365896E-03,3.38662E-01
-6.365804E-03,3.38174E-01
-6.365712E-03,3.37686E-01
-6.365620E-03,3.37686E-01
-6.365528E-03,3.37686E-01
-6.365436E-03,3.38174E-01
-6.365344E-03,3.37686E-01
-6.365252E-03,3.42568E-01
-6.365160E-03,3.42568E-01
-6.365068E-03,3.41104E-01
-6.364976E-03,3.45498E-01
-6.364884E-03,3.47451E-01
-6.364792E-03,3.46475E-01
-6.364700E-03,3.50381E-01
-6.364608E-03,3.51846E-01
-6.364516E-03,3.54775E-01
-6.364424E-03,3.56729E-01
-6.364332E-03,3.55752E-01
-6.364240E-03,3.57705E-01
-6.364148E-03,3.58682E-01
-6.364056E-03,3.58193E-01
-6.363964E-03,3.55752E-01
-6.363872E-03,3.56729E-01
-6.363780E-03,3.54775E-01
-6.363688E-03,3.53799E-01
-6.363596E-03,3.52334E-01
-6.363504E-03,3.48428E-01
-6.363412E-03,3.46475E-01
-6.363320E-03,3.47939E-01
-6.363228E-03,3.45010E-01
-6.363136E-03,3.42568E-01
-6.363044E-03,3.41592E-01
-6.362952E-03,3.42568E-01
-6.362860E-03,3.39150E-01
-6.362768E-03,3.42568E-01
-6.362676E-03,3.40615E-01
-6.362584E-03,3.42080E-01
-6.362492E-03,3.41592E-01
-6.362400E-03,3.45010E-01
-6.362308E-03,3.45498E-01
-6.362216E-03,3.48428E-01
-6.362124E-03,3.49404E-01
-6.362032E-03,3.53799E-01
-6.361940E-03,3.53799E-01
-6.361848E-03,3.56729E-01
-6.361756E-03,3.56729E-01
-6.361664E-03,3.58682E-01
-6.361572E-03,3.59170E-01
-6.361480E-03,3.62100E-01
-6.361388E-03,3.60635E-01
-6.361296E-03,3.62100E-01
-6.361204E-03,3.59170E-01
-6.361112E-03,3.59170E-01
-6.361020E-03,3.57705E-01
-6.360928E-03,3.57705E-01
-6.360836E-03,3.55264E-01
-6.360744E-03,3.53311E-01
-6.360652E-03,3.50381E-01
-6.360560E-03,3.48916E-01
-6.360468E-03,3.47451E-01
-6.360376E-03,3.46475E-01
-6.360284E-03,3.45498E-01
-6.360192E-03,3.45498E-01
-6.360100E-03,3.43057E-01
-6.360008E-03,3.44521E-01
-6.359916E-03,3.45010E-01
-6.359824E-03,3.45986E-01
-6.359732E-03,3.46475E-01
-6.359640E-03,3.50869E-01
-6.359548E-03,3.49893E-01
-6.359456E-03,3.53311E-01
-6.359364E-03,3.53799E-01
-6.359272E-03,3.61123E-01
-6.359180E-03,3.61611E-01
-6.359088E-03,3.62100E-01
-6.358996E-03,3.64053E-01
-6.358904E-03,3.64053E-01
-6.358812E-03,3.67471E-01
-6.358720E-03,3.66982E-01
-6.358628E-03,3.68936E-01
-6.358536E-03,3.66006E-01
-6.358444E-03,3.65029E-01
-6.358352E-03,3.63076E-01
-6.358260E-03,3.60146E-01
-6.358168E-03,3.57705E-01
-6.358076E-03,3.55264E-01
-6.357984E-03,3.54287E-01
-6.357892E-03,3.53311E-01
-6.357800E-03,3.49893E-01
-6.357708E-03,3.48428E-01
-6.357616E-03,3.47451E-01
-6.357524E-03,3.45498E-01
-6.357432E-03,3.44521E-01
-6.357340E-03,3.44521E-01
-6.357248E-03,3.45986E-01
-6.357156E-03,3.47451E-01
-6.357064E-03,3.46963E-01
-6.356972E-03,3.50381E-01
-6.356880E-03,3.51846E-01
-6.356788E-03,3.54775E-01
-6.356696E-03,3.56729E-01
-6.356604E-03,3.60146E-01
-6.356512E-03,3.62100E-01
-6.356420E-03,3.63564E-01
-6.356328E-03,3.68447E-01
-6.356236E-03,3.66006E-01
-6.356144E-03,3.69912E-01
-6.356052E-03,3.70400E-01
-6.355960E-03,3.68936E-01
-6.355868E-03,3.69424E-01
-6.355776E-03,3.66494E-01
-6.355684E-03,3.66494E-01
-6.355592E-03,3.65029E-01
-6.355500E-03,3.63076E-01
-6.355408E-03,3.58682E-01
-6.355316E-03,3.59658E-01
-6.355224E-03,3.55752E-01
-6.355132E-03,3.55264E-01
-6.355040E-03,3.53311E-01
-6.354948E-03,3.50869E-01
-6.354856E-03,3.50869E-01
-6.354764E-03,3.50381E-01
-6.354672E-03,3.49893E-01
-6.354580E-03,3.48428E-01
-6.354488E-03,3.51846E-01
-6.354396E-03,3.52334E-01
-6.354304E-03,3.54287E-01
-6.354212E-03,3.56729E-01
-6.354120E-03,3.60146E-01
-6.354028E-03,3.61123E-01
-6.353936E-03,3.63076E-01
-6.353844E-03,3.66982E-01
-6.353752E-03,3.68447E-01
-6.353660E-03,3.69912E-01
-6.353568E-03,3.71377E-01
-6.353476E-03,3.72354E-01
-6.353384E-03,3.72842E-01
-6.353292E-03,3.72842E-01
-6.353200E-03,3.71377E-01
-6.353108E-03,3.71865E-01
-6.353016E-03,3.69912E-01
-6.352924E-03,3.65518E-01
-6.352832E-03,3.64053E-01
-6.352740E-03,3.61611E-01
-6.352648E-03,3.62100E-01
-6.352556E-03,3.57705E-01
-6.352464E-03,3.56240E-01
-6.352372E-03,3.53311E-01
-6.352280E-03,3.50869E-01
-6.352188E-03,3.50869E-01
-6.352096E-03,3.51357E-01
-6.352004E-03,3.50381E-01
-6.351912E-03,3.51357E-01
-6.351820E-03,3.52334E-01
-6.351728E-03,3.55264E-01
-6.351636E-03,3.54775E-01
-6.351544E-03,3.58682E-01
-6.351452E-03,3.60635E-01
-6.351360E-03,3.63076E-01
-6.351268E-03,3.65029E-01
-6.351176E-03,3.67959E-01
-6.351084E-03,3.71377E-01
-6.350992E-03,3.75283E-01
-6.350900E-03,3.74795E-01
-6.350808E-03,3.76260E-01
-6.350716E-03,3.76260E-01
-6.350624E-03,3.75771E-01
-6.350532E-03,3.78213E-01
-6.350440E-03,3.75771E-01
-6.350348E-03,3.72842E-01
-6.350256E-03,3.71377E-01
-6.350164E-03,3.67471E-01
-6.350072E-03,3.64541E-01
-6.349980E-03,3.60635E-01
-6.349888E-03,3.57705E-01
-6.349796E-03,3.55264E-01
-6.349704E-03,3.54775E-01
-6.349612E-03,3.53311E-01
-6.349520E-03,3.52334E-01
-6.349428E-03,3.49404E-01
-6.349336E-03,3.52334E-01
-6.349244E-03,3.49893E-01
-6.349152E-03,3.53311E-01
-6.349060E-03,3.56729E-01
-6.348968E-03,3.57705E-01
-6.348876E-03,3.61611E-01
-6.348784E-03,3.63564E-01
-6.348692E-03,3.66006E-01
-6.348600E-03,3.68936E-01
-6.348508E-03,3.72354E-01
-6.348416E-03,3.76260E-01
-6.348324E-03,3.77236E-01
-6.348232E-03,3.77725E-01
-6.348140E-03,3.77725E-01
-6.348048E-03,3.81631E-01
-6.347956E-03,3.78213E-01
-6.347864E-03,3.80654E-01
-6.347772E-03,3.78213E-01
-6.347680E-03,3.75283E-01
-6.347588E-03,3.71865E-01
-6.347496E-03,3.71377E-01
-6.347404E-03,3.65518E-01
-6.347312E-03,3.62588E-01
-6.347220E-03,3.60635E-01
-6.347128E-03,3.58193E-01
-6.347036E-03,3.56729E-01
-6.346944E-03,3.54287E-01
-6.346852E-03,3.53799E-01
-6.346760E-03,3.54775E-01
-6.346668E-03,3.52334E-01
-6.346576E-03,3.56240E-01
-6.346484E-03,3.54775E-01
-6.346392E-03,3.57217E-01
-6.346300E-03,3.58682E-01
-6.346208E-03,3.62100E-01
-6.346116E-03,3.64541E-01
-6.346024E-03,3.66006E-01
-6.345932E-03,3.69912E-01
-6.345840E-03,3.74795E-01
-6.345748E-03,3.77236E-01
-6.345656E-03,3.77725E-01
-6.345564E-03,3.79189E-01
-6.345472E-03,3.80166E-01
-6.345380E-03,3.80654E-01
-6.345288E-03,3.79189E-01
-6.345196E-03,3.80166E-01
-6.345104E-03,3.79678E-01
-6.345012E-03,3.75283E-01
-6.344920E-03,3.73818E-01
-6.344828E-03,3.71377E-01
-6.344736E-03,3.70400E-01
-6.344644E-03,3.66982E-01
-6.344552E-03,3.64541E-01
-6.344460E-03,3.61611E-01
-6.344368E-03,3.58682E-01
-6.344276E-03,3.58193E-01
-6.344184E-03,3.57705E-01
-6.344092E-03,3.56729E-01
-6.344000E-03,3.55264E-01
-6.343908E-03,3.57217E-01
-6.343816E-03,3.58682E-01
-6.343724E-03,3.57705E-01
-6.343632E-03,3.63076E-01
-6.343540E-03,3.65029E-01
-6.343448E-03,3.64053E-01
-6.343356E-03,3.69424E-01
-6.343264E-03,3.73330E-01
-6.343172E-03,3.75283E-01
-6.343080E-03,3.78213E-01
-6.342988E-03,3.78701E-01
-6.342896E-03,3.81631E-01
-6.342804E-03,3.83584E-01
-6.342712E-03,3.84072E-01
-6.342620E-03,3.83096E-01
-6.342528E-03,3.83584E-01
-6.342436E-03,3.80166E-01
-6.342344E-03,3.80166E-01
-6.342252E-03,3.75771E-01
-6.342160E-03,3.74795E-01
-6.342068E-03,3.72842E-01
-6.341976E-03,3.67959E-01
-6.341884E-03,3.65518E-01
-6.341792E-03,3.63564E-01
-6.341700E-03,3.61123E-01
-6.341608E-03,3.58682E-01
-6.341516E-03,3.55264E-01
-6.341424E-03,3.57705E-01
-6.341332E-03,3.56729E-01
-6.341240E-03,3.55264E-01
-6.341148E-03,3.57217E-01
-6.341056E-03,3.60146E-01
-6.340964E-03,3.61611E-01
-6.340872E-03,3.66006E-01
-6.340780E-03,3.65518E-01
-6.340688E-03,3.68936E-01
-6.340596E-03,3.72842E-01
-6.340504E-03,3.74795E-01
-6.340412E-03,3.79189E-01
-6.340320E-03,3.82119E-01
